geometry,building,x,y
"POLYGON ((1960948.701575943 8367168.784614307, 1960926.593525072 8367126.73634127, 1960916.674958442 8367131.967425966, 1960903.060584718 8367106.078026094, 1960877.056351669 8367119.754178913, 1960897.249707299 8367158.145070798, 1960907.112614183 8367152.958298907, 1960922.652815097 8367182.50521495, 1960948.701575943 8367168.784614307))",apartments,"[1960948.701575943, 1960926.5935250716, 1960916.6749584419, 1960903.0605847177, 1960877.056351669, 1960897.2497072986, 1960907.1126141825, 1960922.6528150972, 1960948.701575943]","[8367168.784614307, 8367126.73634127, 8367131.967425966, 8367106.078026094, 8367119.754178913, 8367158.145070798, 8367152.958298907, 8367182.50521495, 8367168.784614307]"
"POLYGON ((1960864.043103195 8367100.647470017, 1960840.777329619 8367055.54076078, 1960831.159325615 8367060.505810098, 1960816.843639099 8367032.754773711, 1960793.24390705 8367044.923545983, 1960812.802741583 8367082.826407949, 1960823.35582931 8367077.395868987, 1960841.389586818 8367112.32871192, 1960864.043103195 8367100.647470017))",apartments,"[1960864.0431031948, 1960840.7773296193, 1960831.1593256148, 1960816.8436390986, 1960793.2439070502, 1960812.8027415827, 1960823.3558293097, 1960841.3895868182, 1960864.0431031948]","[8367100.647470017, 8367055.54076078, 8367060.505810098, 8367032.754773711, 8367044.923545983, 8367082.826407949, 8367077.395868987, 8367112.32871192, 8367100.647470017]"
"POLYGON ((1960782.857798559 8367032.267136624, 1960763.098588943 8366989.532520828, 1960751.821924526 8366994.763508218, 1960736.938508607 8366962.557530346, 1960712.670859614 8366973.773085481, 1960732.585916517 8367016.840089085, 1960742.45995535 8367012.274043849, 1960757.198655931 8367044.147758444, 1960782.857798559 8367032.267136624))",apartments,"[1960782.8577985594, 1960763.0985889435, 1960751.8219245262, 1960736.9385086072, 1960712.670859614, 1960732.585916517, 1960742.4599553505, 1960757.1986559313, 1960782.8577985594]","[8367032.267136624, 8366989.532520828, 8366994.763508218, 8366962.557530346, 8366973.773085481, 8367016.840089085, 8367012.274043849, 8367044.147758444, 8367032.267136624]"
"POLYGON ((1960690.47375315 8367082.981566262, 1960671.838870391 8367040.180160596, 1960659.115052593 8367045.721498964, 1960644.376352012 8367011.91939968, 1960615.644791439 8367024.420617033, 1960637.118321212 8367073.716404045, 1960648.595360714 8367068.707014967, 1960660.506546228 8367096.037041868, 1960690.47375315 8367082.981566262))",apartments,"[1960690.4737531499, 1960671.8388703908, 1960659.1150525932, 1960644.3763520124, 1960615.6447914387, 1960637.1183212125, 1960648.5953607135, 1960660.5065462284, 1960690.4737531499]","[8367082.9815662615, 8367040.180160596, 8367045.721498964, 8367011.91939968, 8367024.420617033, 8367073.716404045, 8367068.707014967, 8367096.037041868, 8367082.9815662615]"
"POLYGON ((1960592.601656845 8366997.800142433, 1960573.265461294 8366955.486863039, 1960560.096365533 8366961.515770161, 1960546.849346129 8366932.523864891, 1960520.021348847 8366944.781132036, 1960537.710015934 8366983.481425636, 1960548.430082898 8366978.58292364, 1960563.324630766 8367011.187946121, 1960592.601656845 8366997.800142433))",apartments,"[1960592.6016568446, 1960573.2654612937, 1960560.0963655326, 1960546.8493461288, 1960520.0213488468, 1960537.7100159344, 1960548.4300828977, 1960563.3246307662, 1960592.6016568446]","[8366997.800142433, 8366955.4868630385, 8366961.515770161, 8366932.523864891, 8366944.781132036, 8366983.4814256355, 8366978.58292364, 8367011.187946121, 8366997.800142433]"
"POLYGON ((1960474.76997584 8366972.864314565, 1960497.891034077 8367011.298772416, 1960489.564336166 8367016.308122504, 1960506.57395436 8367044.568900242, 1960480.046519703 8367060.527975505, 1960456.636030789 8367021.627790039, 1960467.011007332 8367015.399346347, 1960450.290819814 8366987.604149289, 1960474.76997584 8366972.864314565))",apartments,"[1960474.76997584, 1960497.8910340774, 1960489.564336166, 1960506.5739543596, 1960480.0465197035, 1960456.6360307892, 1960467.0110073318, 1960450.2908198144, 1960474.76997584]","[8366972.8643145645, 8367011.298772416, 8367016.308122504, 8367044.568900242, 8367060.527975505, 8367021.627790039, 8367015.399346347, 8366987.604149289, 8366972.8643145645]"
"POLYGON ((1960825.938441496 8367292.270938911, 1960809.184858132 8367256.716595818, 1960794.735588227 8367263.543725709, 1960758.156003552 8367185.918744754, 1960733.532132189 8367197.533624257, 1960776.412400042 8367288.524868502, 1960788.000759034 8367283.049845934, 1960798.44252727 8367305.215954265, 1960825.938441496 8367292.270938911))",apartments,"[1960825.938441496, 1960809.1848581317, 1960794.7355882267, 1960758.1560035523, 1960733.5321321886, 1960776.4124000422, 1960788.000759034, 1960798.4425272702, 1960825.938441496]","[8367292.270938911, 8367256.716595818, 8367263.543725709, 8367185.918744754, 8367197.533624257, 8367288.524868502, 8367283.049845934, 8367305.215954265, 8367292.270938911]"
"POLYGON ((1960728.021817395 8367212.850220412, 1960689.438481885 8367134.915454146, 1960665.126305097 8367146.95140097, 1960703.709640605 8367224.886294414, 1960728.021817395 8367212.850220412))",apartments,"[1960728.0218173945, 1960689.4384818855, 1960665.1263050965, 1960703.7096406054, 1960728.0218173945]","[8367212.850220412, 8367134.9154541455, 8367146.95140097, 8367224.886294414, 8367212.850220412]"
"POLYGON ((1960639.545086112 8367259.088357765, 1960597.087832323 8367183.790829881, 1960571.584536983 8367198.176433005, 1960614.052922721 8367273.474107741, 1960639.545086112 8367259.088357765))",apartments,"[1960639.545086112, 1960597.0878323233, 1960571.5845369827, 1960614.0529227206, 1960639.545086112]","[8367259.088357765, 8367183.790829881, 8367198.176433005, 8367273.474107741, 8367259.088357765]"
"POLYGON ((1960650.398736465 8367349.14937783, 1960606.828287768 8367267.999096357, 1960586.545876545 8367278.882625006, 1960626.209011115 8367352.784647611, 1960630.116325242 8367360.033026236, 1960634.635896568 8367357.616899237, 1960650.398736465 8367349.14937783))",apartments,"[1960650.3987364646, 1960606.828287768, 1960586.5458765454, 1960626.2090111151, 1960630.1163252417, 1960634.6358965682, 1960650.3987364646]","[8367349.14937783, 8367267.999096357, 8367278.882625006, 8367352.784647611, 8367360.033026236, 8367357.616899237, 8367349.14937783]"
